id,name,start,dist,up,down,end,type,surface,map,deprecated,neighborhoods,coarse_neighborhoods,start_neighborhood,end_neighborhood,transit
cse-lwb-cc,"CSE, LWB, Columbia City",CSE,8.8,650,,ColCity,P2P,,https://onthegomap.com/s/k3pikua1,,University of Washington;Stevens;Seward Park;Madison Park;Mount Baker;Columbia City;Madrona;Leschi;Montlake;Harrison/Denny-Blaine,Seward Park;Capitol Hill;University District;Central Area;Rainier Valley,University of Washington,Columbia City,
cse-520-eastrail-bell-dtwn,"CSE, 520, Eastrail, Bellevue Downtown",CSE,9.0,740,,BellDtwn,P2P,,https://onthegomap.com/s/8rjmci5k,,University of Washington;Montlake,University District;Capitol Hill,University of Washington,Montlake,
cse-burke-salmon-bay-ship-canal-ob,"OB: CSE, Burke, Salmon Bay, Ship Canal",CSE,9.3,310,,CSE,OB,,https://onthegomap.com/s/gtievusc,,University of Washington;West Woodland;North Queen Anne;East Queen Anne;Wallingford;University District;Fremont,University District;Queen Anne;North Central;Ballard,University of Washington,University of Washington,
cse-lwb-frog-pond-i90-trail-sodo,"CSE, LWB, Frog Pond, I90 Trail, SODO",CSE,9.3,910,,SODO,P2P,,https://onthegomap.com/s/oru27j5p,,University of Washington;Stevens;Madison Park;North Beacon Hill;Mount Baker;Madrona;Leschi;Atlantic;Montlake;Harrison/Denny-Blaine;SODO,Capitol Hill;Beacon Hill;Greater Duwamish;University District;Central Area;Rainier Valley,University of Washington,SODO,
cse-portage-bay-lake-union-loop,"CSE, Portage Bay, Lake Union Loop",CSE,9.5,540,,CSE,Loop,,https://onthegomap.com/s/5mii0jgd,,University of Washington;South Lake Union;Westlake;Portage Bay;Eastlake;East Queen Anne;Wallingford;University District;Fremont;Montlake,North Central;Cascade;Capitol Hill;Queen Anne;University District,University of Washington,University of Washington,
cse-arb-mercer-westlake-burke-loop,"CSE, Arboretum, Mercer, Westlake, Burke Loop",CSE,9.7,870,,CSE,Loop,,https://onthegomap.com/s/sq0lng1a,,University of Washington;Stevens;South Lake Union;Westlake;East Queen Anne;Wallingford;University District;Broadway;Fremont;Montlake,North Central;Cascade;Capitol Hill;Queen Anne;University District,University of Washington,University of Washington,
cse-magnuson-park-loop-ob,"OB: CSE, Magnuson Park Loop",CSE,9.7,520,,CSE,OB,,https://onthegomap.com/s/947d7u3q,,University of Washington;Ravenna;Sand Point;Bryant;University District;Windermere,University District;Northeast,University of Washington,University of Washington,
cse-520-wetherill-ob,"OB: CSE, 520, Wetherill Preserve",CSE,9.8,710,,CSE,OB,,https://onthegomap.com/s/jssjhikb,,University of Washington;Montlake,University District;Capitol Hill,University of Washington,University of Washington,
cse-520-trail-redmond-tech-center,"CSE, 520 Trail, Redmond Tech Center",CSE,10.0,930,,RedTech,P2P,,https://onthegomap.com/s/v912b5iv,,University of Washington;Montlake,University District;Capitol Hill,University of Washington,Montlake,
cse-arb-lwb-seward-cc,"CSE, Arboretum, LWB, Seward, Columbia City",CSE,10.9,860,,ColCity,P2P,,https://onthegomap.com/s/k9kqgvd7,,University of Washington;Stevens;Seward Park;Madison Park;Mount Baker;Columbia City;Madrona;Leschi;Montlake;Harrison/Denny-Blaine,Seward Park;Capitol Hill;University District;Central Area;Rainier Valley,University of Washington,Columbia City,
cse-jays-cafe,CSE to Jay's Cafe,CSE,11.2,410,,JaysCafe,P2P,,https://onthegomap.com/s/9au7h17i,,University of Washington;View Ridge;Ravenna;Bryant;Cedar Park;University District;Windermere;Matthews Beach,University District;Lake City;Northeast,University of Washington,Cedar Park,
cse-lwb-colman-park-ob,"OB: CSE, LWB, Colman Park",CSE,11.6,970,,CSE,OB,,https://onthegomap.com/s/li7sok5j,,University of Washington;Stevens;Madison Park;Mount Baker;Madrona;Leschi;Montlake;Harrison/Denny-Blaine,University District;Central Area;Capitol Hill;Rainier Valley,University of Washington,University of Washington,
cse-burke-locks-elliot-bay-westlake,"CSE, Burke, Locks, Elliot Bay, Westlake",CSE,11.7,500,,Westlake,P2P,,https://onthegomap.com/s/njn7df19,,University of Washington;West Woodland;Ballard;Interbay;Southeast Magnolia;Central Business District;Lawton Park;Belltown;Wallingford;University District;Pike-Market;Fremont,North Central;Downtown;Interbay;Ballard;Magnolia;University District,University of Washington,Central Business District,
cse-520-eastside-parks-south-bellevue,"CSE, 520, Eastside Parks, South Bellevue",CSE,11.9,1260,,SoBell,P2P,,https://onthegomap.com/s/n3e1nni2,,University of Washington;Montlake,University District;Capitol Hill,University of Washington,Montlake,
cse-lake-union-stone-green-lake-ravenna-loop,"CSE, Lake Union, Stone Way, Green Lake, Ravenna Loop",CSE,12.5,640,,CSE,Loop,,https://onthegomap.com/s/l7silht4,,University of Washington;South Lake Union;Westlake;Phinney Ridge;Ravenna;Roosevelt;Eastlake;East Queen Anne;Green Lake;Wallingford;University District;Fremont,North Central;Cascade;Northeast;Queen Anne;University District,University of Washington,University of Washington,
cse-arb-lwb-seward-loop-cc,"CSE, Arboretum, LWB, Seward Loop, Columbia City",CSE,13.3,950,,ColCity,P2P,,https://onthegomap.com/s/8afj5151,,University of Washington;Stevens;Seward Park;Madison Park;Mount Baker;Columbia City;Madrona;Leschi;Montlake;Harrison/Denny-Blaine,Seward Park;Capitol Hill;University District;Central Area;Rainier Valley,University of Washington,Columbia City,
cse-lwb-sailing-club-ob,"OB: CSE, LWB, Sailing Club",CSE,14.0,1040,,CSE,OB,,https://onthegomap.com/s/jat6l5fl,,University of Washington;Stevens;Seward Park;Madison Park;Mount Baker;Madrona;Leschi;Montlake;Harrison/Denny-Blaine,Seward Park;Capitol Hill;University District;Central Area;Rainier Valley,University of Washington,University of Washington,
cse-eastlake-sculpture-locks-loop,"CSE, Eastlake, Sculpture Park, Locks Loop",CSE,15.7,740,,CSE,Loop,,https://onthegomap.com/s/3ijhqn6e,,University of Washington;South Lake Union;West Woodland;Portage Bay;Interbay;Southeast Magnolia;Ballard;Wallingford;Lawton Park;Eastlake;Belltown;University District;Lower Queen Anne;Fremont,North Central;Cascade;Downtown;Interbay;Capitol Hill;Ballard;Queen Anne;Magnolia;University District,University of Washington,University of Washington,
cse-woodinville-cafe,"CSE, Woodinville Cafe",CSE,16.3,610,,WoodCafe,P2P,,https://onthegomap.com/s/4un60ulp,,University of Washington;View Ridge;Ravenna;Bryant;Cedar Park;University District;Windermere;Matthews Beach,University District;Lake City;Northeast,University of Washington,Cedar Park,
cse-portage-sculpture-locks-loop,"CSE, Portage Bay, Sculpture Park, Locks Loop",CSE,17.1,870,,CSE,Loop,,https://onthegomap.com/s/8l1h07jc,,University of Washington;South Lake Union;West Woodland;Portage Bay;Interbay;Southeast Magnolia;Ballard;Wallingford;Lawton Park;Eastlake;Belltown;University District;Lower Queen Anne;Fremont;Montlake,North Central;Cascade;Downtown;Interbay;Capitol Hill;Ballard;Queen Anne;Magnolia;University District,University of Washington,University of Washington,
cse-lwb-seward-ob,"OB: CSE, LWB, Seward",CSE,17.6,1060,,CSE,OB,,https://onthegomap.com/s/h7l0d3ht,,University of Washington;Stevens;Seward Park;Madison Park;Mount Baker;Madrona;Leschi;Montlake;Harrison/Denny-Blaine,Seward Park;Capitol Hill;University District;Central Area;Rainier Valley,University of Washington,University of Washington,
cse-520-ckc-sammamish-river-marymoor,"CSE, 520, CKC, Sammamish River, Marymoor",CSE,17.9,830,,Marymoor,P2P,,https://onthegomap.com/s/edss2jn5,,University of Washington;Montlake,University District;Capitol Hill,University of Washington,Montlake,
cse-lwb-seward-loop-ob,"OB: CSE, LWB, Seward Loop",CSE,20.0,1150,,CSE,OB,,https://onthegomap.com/s/o6107999,,University of Washington;Stevens;Seward Park;Madison Park;Mount Baker;Madrona;Leschi;Montlake;Harrison/Denny-Blaine,Seward Park;Capitol Hill;University District;Central Area;Rainier Valley,University of Washington,University of Washington,
cse-520-mercer-slough-i90-lwb-arb-loop,"CSE, 520, Mercer Slough, I90 Trail, LWB, Arboretum Loop",CSE,20.7,1600,,CSE,Loop,,https://onthegomap.com/s/86vj3afv,,University of Washington;Stevens;Madison Park;Mount Baker;Madrona;Leschi;Montlake;Harrison/Denny-Blaine,University District;Central Area;Capitol Hill;Rainier Valley,University of Washington,University of Washington,
cse-520-eastrail-mercer-slough-i90-lwb-arb-loop,"CSE, 520, Eastrail, Mercer Slough, I90 Trail, LWB, Arboretum Loop",CSE,22.4,1700,,CSE,Loop,,https://onthegomap.com/s/24dhlgat,,University of Washington;Stevens;Madison Park;Mount Baker;Madrona;Leschi;Montlake;Harrison/Denny-Blaine,University District;Central Area;Capitol Hill;Rainier Valley,University of Washington,University of Washington,
green-lake-ravenna-calvary-cemetery-ob,"OB: Green Lake, Ravenna, Calvary Cemetery",GasWorks,5.4,510,,GasWorks,OB,,https://onthegomap.com/s/4hanjvch,,Roosevelt;Ravenna;Green Lake,Northeast;North Central,Green Lake,Green Lake,
gas-works-ballard-bridge-ship-canal-loop,"Gas Works, Ballard Bridge, Ship Canal Loop",GasWorks,5.5,209,,GasWorks,Loop,,https://onthegomap.com/s/bc36dol4,,North Queen Anne;Fremont;West Woodland;Wallingford,Queen Anne;North Central;Ballard,Wallingford,Wallingford,
gas-works-green-lake-ob,"OB: Gas Works, Green Lake Community Center",GasWorks,6.0,357,,GasWorks,OB,,https://onthegomap.com/s/trfuphnl,,Phinney Ridge;Fremont;Green Lake;Wallingford,North Central,Wallingford,Wallingford,
gas-works-lake-union-loop,"Gas Works, Lake Union Loop",GasWorks,6.3,303,,GasWorks,Loop,,https://onthegomap.com/s/oepno6ud,,South Lake Union;Westlake;Eastlake;East Queen Anne;Wallingford;University District;Fremont,Cascade;University District;Queen Anne;North Central,Wallingford,Wallingford,
gas-works-around-green-lake-ob,"OB: Gas Works, Green Lake Loop",GasWorks,6.9,390,,GasWorks,OB,,https://onthegomap.com/s/dg4pkip4,,Phinney Ridge;Fremont;Green Lake;Wallingford,North Central,Wallingford,Wallingford,
gas-works-locks-salmon-bay-loop,"Gas Works, Locks, Salmon Bay Loop",GasWorks,8.0,250,,GasWorks,Loop,,https://onthegomap.com/s/4fpqkgfr,,West Woodland;Interbay;North Queen Anne;Wallingford;Lawton Park;East Queen Anne;Ballard;Fremont,North Central;Interbay;Queen Anne;Ballard;Magnolia,Wallingford,Wallingford,
gas-works-queen-anne-loop,"Gas Works, Queen Anne Loop",GasWorks,9.7,830,,GasWorks,Loop,,https://onthegomap.com/s/56mrgar1,,South Lake Union;Westlake;Interbay;North Queen Anne;Denny Triangle;Belltown;East Queen Anne;West Queen Anne;Wallingford;Lower Queen Anne;Fremont,North Central;Cascade;Downtown;Interbay;Queen Anne,Wallingford,Wallingford,
gas-works-kotkins-pier-salmon-bay-loop,"Gas Works, Kotkins Pier, Salmon Bay Loop",GasWorks,10.2,320,,GasWorks,Loop,,https://onthegomap.com/s/oufhpc2l,,West Woodland;Interbay;North Queen Anne;Wallingford;Lawton Park;East Queen Anne;Ballard;Sunset Hill;Fremont,North Central;Interbay;Queen Anne;Ballard;Magnolia,Wallingford,Wallingford,
