stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,tts_stop_name
SN04,Everett Station,47.974947,-122.197257,SN04,Everett Station - 3201 Smith Ave,S_EV,https://www.soundtransit.org/ride-with-us/stops-stations/everett-station,1,,1,America/Los_Angeles,,
SS01,King Street Station,47.597702,-122.329456,SS01,King Street Station - 301 South Jackson Street,S_KS,https://www.soundtransit.org/ride-with-us/stops-stations/king-street-station,1,,1,America/Los_Angeles,,
SS02,Tukwila Station,47.460199,-122.240430,SS02,Tukwila Station - S Longacres Way & Longacres Dr SW,S_TK,https://www.soundtransit.org/ride-with-us/stops-stations/tukwila-station,1,,1,America/Los_Angeles,,
SS03,Kent Station,47.384154,-122.233033,SS03,Kent Station - 301 Railroad Avenue North,S_KE,https://www.soundtransit.org/ride-with-us/stops-stations/kent-station,1,,1,America/Los_Angeles,,
SS04,Auburn Station,47.306411,-122.232257,SS04,Auburn Station - 23 A Street SW,S_AU,https://www.soundtransit.org/ride-with-us/stops-stations/auburn-station,1,,1,America/Los_Angeles,,
SS05,Sumner Station,47.201287,-122.244813,SS05,Sumner Station - 810 Maple Street,S_SU,https://www.soundtransit.org/ride-with-us/stops-stations/sumner-station,1,,1,America/Los_Angeles,,
SS06,Puyallup Station,47.192717,-122.295675,SS06,Puyallup Station - 131 West Main Street,S_PU,https://www.soundtransit.org/ride-with-us/stops-stations/puyallup-station,1,,1,America/Los_Angeles,,
SS07,Tacoma Dome Station,47.239571,-122.427024,SS07,Tacoma Dome Station - 424 25th Street,S_TD,https://www.soundtransit.org/ride-with-us/stops-stations/tacoma-dome-station,1,,1,America/Los_Angeles,,
SS08,South Tacoma Station,47.203491,-122.485552,SS08,South Tacoma Station - S 58th St & Hood St,S_ST,https://www.soundtransit.org/ride-with-us/stops-stations/south-tacoma-station,1,,1,America/Los_Angeles,,
SS09,Lakewood Station,47.153189,-122.499103,SS09,Lakewood Station - Pacific Hwy SW & 114th St SW,S_LW,https://www.soundtransit.org/ride-with-us/stops-stations/lakewood-station,1,,1,America/Los_Angeles,,
S_AU_NB,Auburn Station,47.306299,-122.232137,SS04,Auburn to King Street,S_AU,https://www.soundtransit.org/ride-with-us/stops-stations/auburn-station,,SS04,1,America/Los_Angeles,1,
S_AU_SB,Auburn Station,47.306299,-122.232375,SS04,Auburn to Tacoma Dome/Lakewood,S_AU,https://www.soundtransit.org/ride-with-us/stops-stations/auburn-station,,SS04,1,America/Los_Angeles,2,
S_ED,Edmonds Station,47.811152,-122.384373,SN02,Edmonds to/from King Street/Everett,S_ED,https://www.soundtransit.org/ride-with-us/stops-stations/edmonds-station,,SN02,1,America/Los_Angeles,,
S_EV,Everett Station,47.974947,-122.197257,SN04,Everett to/from King Street,S_EV,https://www.soundtransit.org/ride-with-us/stops-stations/everett-station,,SN04,1,America/Los_Angeles,,
S_KE_NB,Kent Station,47.384022,-122.232903,SS03,Kent to King Street,S_KE,https://www.soundtransit.org/ride-with-us/stops-stations/kent-station,,SS03,1,America/Los_Angeles,1,
S_KE_SB,Kent Station,47.384257,-122.233151,SS03,Kent to Tacoma Dome/Lakewood,S_KE,https://www.soundtransit.org/ride-with-us/stops-stations/kent-station,,SS03,1,America/Los_Angeles,2,
S_KS,King Street Station,47.597702,-122.329456,SS01,King Street to/from Everett/Tacoma Dome/Lakewood,S_KS,https://www.soundtransit.org/ride-with-us/stops-stations/king-street-station,,SS01,1,America/Los_Angeles,4,
S_KS_T3,King Street Station,47.597722,-122.329503,SS01,King Street to/from Everett/Tacoma Dome/Lakewood,S_KS,https://www.soundtransit.org/ride-with-us/stops-stations/king-street-station,,SS01,1,America/Los_Angeles,3,
S_KS_T9,King Street Station,47.597694,-122.329909,SS01,King Street to/from Everett/Tacoma Dome/Lakewood,S_KS,https://www.soundtransit.org/ride-with-us/stops-stations/king-street-station,,SS01,1,America/Los_Angeles,9,
S_LW,Lakewood Station,47.153189,-122.499103,SS09,Lakewood to/from King Street,S_LW,https://www.soundtransit.org/ride-with-us/stops-stations/lakewood-station,,SS09,1,America/Los_Angeles,,
S_MU,Mukilteo Station,47.949110,-122.299030,SN03,Mukilteo to/from King Street Station/Everett,S_MU,https://www.soundtransit.org/ride-with-us/stops-stations/mukilteo-station,,SN03,1,America/Los_Angeles,1,
S_MU_T2,Mukilteo Station,47.949061,-122.298703,SN03,Mukilteo to/from King Street Station/Everett,S_MU,https://www.soundtransit.org/ride-with-us/stops-stations/mukilteo-station,,SN03,1,America/Los_Angeles,2,
S_PU_NB,Puyallup Station,47.192634,-122.295644,SS06,Puyallup to King Street,S_PU,https://www.soundtransit.org/ride-with-us/stops-stations/puyallup-station,,SS06,1,America/Los_Angeles,1,
S_PU_SB,Puyallup Station,47.192736,-122.295349,SS06,Puyallup to Tacoma Dome/Lakewood,S_PU,https://www.soundtransit.org/ride-with-us/stops-stations/puyallup-station,,SS06,1,America/Los_Angeles,2,
S_ST,South Tacoma Station,47.203491,-122.485552,SS08,South Tacoma to King Street/Lakewood,S_ST,https://www.soundtransit.org/ride-with-us/stops-stations/south-tacoma-station,,SS08,1,America/Los_Angeles,,
S_SU_NB,Sumner Station,47.201418,-122.244497,SS05,Sumner to King Street,S_SU,https://www.soundtransit.org/ride-with-us/stops-stations/sumner-station,,SS05,1,America/Los_Angeles,1,
S_SU_SB,Sumner Station,47.201218,-122.245037,SS05,Sumner to Tacoma Dome/Lakewood,S_SU,https://www.soundtransit.org/ride-with-us/stops-stations/sumner-station,,SS05,1,America/Los_Angeles,2,
S_TD,Tacoma Dome Station,47.239443,-122.428193,SS07,Tacoma Dome to/from King Street/Lakewood,S_TD,https://www.soundtransit.org/ride-with-us/stops-stations/tacoma-dome-station,,SS07,1,America/Los_Angeles,1,
S_TD_T2,Tacoma Dome Station,47.239378,-122.427870,SS07,Tacoma Dome to/from King Street/Lakewood,S_TD,https://www.soundtransit.org/ride-with-us/stops-stations/tacoma-dome-station,,SS07,1,America/Los_Angeles,2,
S_TK_NB,Tukwila Station,47.460527,-122.240293,SS02,Tukwila to King Street,S_TK,https://www.soundtransit.org/ride-with-us/stops-stations/tukwila-station,,SS02,1,America/Los_Angeles,1,
S_TK_SB,Tukwila Station,47.460432,-122.240507,SS02,Tukwila to Tacoma Dome/Lakewood,S_TK,https://www.soundtransit.org/ride-with-us/stops-stations/tukwila-station,,SS02,1,America/Los_Angeles,2,
T01,Tacoma Dome,47.239868,-122.428118,,Tacoma Dome to/from St Joseph,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/tacoma-dome-station,,,1,America/Los_Angeles,,
T03,S 25th,47.239081,-122.434202,,S 25th to Tacoma Dome/St Joseph,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/s-25th-station,,,1,America/Los_Angeles,,South 25th
T05,Union Station,47.244865,-122.436623,,,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/union-station,1,,1,America/Los_Angeles,,
T05-T1,Union Station,47.244915,-122.436616,,Union Station to St Joseph,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/union-station,,T05,1,America/Los_Angeles,1,
T05-T2,Union Station,47.244770,-122.436628,,Union Station to Tacoma Dome,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/union-station,,T05,1,America/Los_Angeles,2,
T07,Convention Center,47.249496,-122.438552,,,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/convention-center-station,1,,1,America/Los_Angeles,,
T07-T1,Convention Center,47.249514,-122.438500,,Convention Center to St Joseph,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/convention-center-station,,T07,1,America/Los_Angeles,1,
T07-T2,Convention Center,47.249493,-122.438656,,Convention Center to Tacoma Dome,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/convention-center-station,,T07,1,America/Los_Angeles,2,
T09,Theater District,47.252534,-122.439239,,,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/theater-district-station,1,,1,America/Los_Angeles,,
T09-T1,Theater District,47.253016,-122.439266,,Theater District to St Joseph,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/theater-district-station,,T09,1,America/Los_Angeles,1,
T09-T2,Theater District,47.252651,-122.439308,,Theater District to Tacoma Dome,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/theater-district-station,,T09,1,America/Los_Angeles,2,
T13,Old City Hall,47.257746,-122.440421,,,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/old-city-hall-station,1,,1,America/Los_Angeles,,
T13-T1,Old City Hall,47.257800,-122.440413,,Old City Hall to St Joseph,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/old-city-hall-station,,T13,1,America/Los_Angeles,1,
T13-T2,Old City Hall,47.257689,-122.440423,,Old City Hall to Tacoma Dome,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/old-city-hall-station,,T13,1,America/Los_Angeles,2,
T15,S 4th,47.261319,-122.442723,,,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/s-4th-station,1,,1,America/Los_Angeles,,South 4th
T15-T1,S 4th,47.261428,-122.442799,,S 4th to St Joseph,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/s-4th-station,,T15,1,America/Los_Angeles,1,South 4th
T15-T2,S 4th,47.261224,-122.442654,,S 4th to Tacoma Dome,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/s-4th-station,,T15,1,America/Los_Angeles,2,South 4th
T17,Stadium District,47.263869,-122.448999,,,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/stadium-district-station,1,,1,America/Los_Angeles,,
T17-T1,Stadium District,47.263816,-122.449052,,Stadium District to St Joseph,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/stadium-district-station,,T17,1,America/Los_Angeles,1,
T17-T2,Stadium District,47.263956,-122.448921,,Stadium District to Tacoma Dome,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/stadium-district-station,,T17,1,America/Los_Angeles,2,
T19,Tacoma General,47.260083,-122.453564,,,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/tacoma-general-station,1,,1,America/Los_Angeles,,
T19-T1,Tacoma General,47.260036,-122.453565,,Tacoma General to St Joseph,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/tacoma-general-station,,T19,1,America/Los_Angeles,1,
T19-T2,Tacoma General,47.260145,-122.453558,,Tacoma General to Tacoma Dome,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/tacoma-general-station,,T19,1,America/Los_Angeles,2,
T21,6th Ave,47.256925,-122.452848,,,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/6th-ave-station,1,,1,America/Los_Angeles,,
T21-T1,6th Ave,47.256867,-122.452839,,6th Ave to St Joseph,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/6th-ave-station,,T21,1,America/Los_Angeles,1,
T21-T2,6th Ave,47.256985,-122.452842,,6th Ave to Tacoma Dome,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/6th-ave-station,,T21,1,America/Los_Angeles,2,
T23,Hilltop District,47.251758,-122.451665,,,TLZ,https://www.soundtransit.org/ride-with-us/stops-stations/hilltop-district-station,1,,1,America/Los_Angeles,,
