stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
10760,10760,"Sand Point Way NE & NE 106th St","",47.7053642,-122.278374,1,,0,,America/Los_Angeles,1
10780,10780,"Sand Point Way NE & NE 110th St","",47.7092285,-122.280212,1,,0,,America/Los_Angeles,1
108,108,"E Madison St & 22nd Ave E","",47.6181297,-122.30394,1,,0,,America/Los_Angeles,1
10800,10800,"Sand Point Way NE & NE 115th St","",47.7126198,-122.281837,1,,0,,America/Los_Angeles,1
10820,10820,"Sand Point Way NE & NE 120th St","",47.7160149,-122.283005,1,,0,,America/Los_Angeles,1
10830,10830,"Sand Point Way NE & NE 123rd St","",47.717598,-122.283928,1,,0,,America/Los_Angeles,1
10840,10840,"NE 125th St & 39th Ave NE","",47.7192917,-122.28669,1,,0,,America/Los_Angeles,1
1085,1085,"Pine St & 9th Ave","",47.6133766,-122.332603,21,,0,,America/Los_Angeles,1
10860,10860,"NE 125th St & 35th Ave NE","",47.7193222,-122.291412,1,,0,,America/Los_Angeles,1
10870,10870,"NE 125th St & 33rd Ave NE","",47.7193375,-122.293205,1,,0,,America/Los_Angeles,1
109,109,"E Madison St & 24th Ave E","",47.6205368,-122.300407,1,,0,,America/Los_Angeles,1
10910,10910,"12th Ave NE & NE 47th St","",47.662281,-122.315475,1,,0,,America/Los_Angeles,1
10911,10911,"U District Station - Bay 3","",47.6612053,-122.313477,1,,0,,America/Los_Angeles,1
10912,10912,"15th Ave NE & NE 43rd St","",47.6593704,-122.312096,1,,0,,America/Los_Angeles,1
10914,10914,"15th Ave NE & NE Campus Pkwy","",47.6564217,-122.312164,1,,0,,America/Los_Angeles,1
10915,10915,"Harvard Ave E & Eastlake Ave E","",47.6499405,-122.321999,1,,0,,America/Los_Angeles,1
10916,10916,"Harvard Ave E & Eastlake Ave E","",47.6496201,-122.322205,1,,0,,America/Los_Angeles,1
10917,10917,"15th Ave NE & NE 40th St","",47.6548195,-122.31221,1,,0,,America/Los_Angeles,1
10920,10920,"Harvard Ave E & E Shelby St","",47.647007,-122.322205,1,,0,,America/Los_Angeles,1
