"id","name","start","dist","elev","end","type","map"
"cse-jays-cafe","CSE to Jay's Cafe","CSE","11.2","410","JaysCafe","P2P","https://onthegomap.com/s/9au7h17i"
"cse-burke-locks-elliot-bay-westlake","CSE, Burke, Locks, Elliot Bay, Westlake","CSE","11.7","500","Westlake","P2P","https://onthegomap.com/s/njn7df19"
"cse-lake-union-stone-green-lake-ravenna-loop","CSE, Lake Union, Stone Way, Green Lake, Ravenna Loop","CSE","12.5","640","CSE","Loop","https://onthegomap.com/s/l7silht4"
"cap-hill-volunteer-park-westlake","Cap Hill, Volunteer Park, Westlake","CapHill","4.0","279","Westlake","P2P","https://onthegomap.com/s/b9i31iru"
"cap-hill-i90-ob","OB: Cap Hill, I90 Bridge","CapHill","10.7","1220","CapHill","OB","https://onthegomap.com/s/6qcstgh2"
"cap-hill-i90-trail-lwb-arborlaken-loop","Cap Hill, I90 Trail, LWB, Arborlaken Loop","CapHill","10.8","1270","CapHill","Loop","https://onthegomap.com/s/ia4ncds8"
"cc-chief-sealth-cc-center","Columbia City, Chief Sealth, CC Center Loop","ColCity","3.0","342","ColCity","Loop","https://onthegomap.com/s/4g3uoh3d"
"cc-genessee-lwb-north-ob","OB: Columbia City, Genessee Park, LWB North","ColCity","5.7","283","ColCity","OB","https://onthegomap.com/s/cnnrmgo2"
"cc-genessee-lwb-south-ob","OB: Columbia City, Genessee Park, LWB South","ColCity","6.8","327","ColCity","OB","https://onthegomap.com/s/gm7lr79r"
"cc-genessee-lwb-seward-loop-ob","OB: Columbia City, Genessee Park, Seward Loop","ColCity","9.2","440","ColCity","OB","https://onthegomap.com/s/9shfec5e"
